,timestamp,event_type,event_id,source_ticket_id,assignment_group,similar_ticket_id,similar_ticket_ids,rank,client_ip,client_id,undo
0,2023-02-16 08:27:08,view-incident-results,84771226-0915-4b5f-a22c-70c1ec1628f5,INC49193402,,,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",,,2a76050e-a26e-46af-97b3-205958f048ee,
1,2023-02-16 08:28:28,like,40b8f2c4-2787-4df0-945e-eca127643e58,INC49193402,,INC38223349,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",1.0,,2a76050e-a26e-46af-97b3-205958f048ee,
2,2023-02-16 08:30:36,view-incident-results,c7c08643-93d0-415e-a1ca-680a655e09a8,INC49193402,,,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",,,2a76050e-a26e-46af-97b3-205958f048ee,
3,2023-02-16 08:33:17,view-incident-results,1b53419a-09c6-4b04-9101-c696eb9b4d26,INC49193402,,,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",,,2a76050e-a26e-46af-97b3-205958f048ee,
4,2023-02-16 08:33:59,like,69f0a7d9-cc62-4ea5-aad0-6a8659697f53,INC49193402,,INC49193399,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",3.0,,2a76050e-a26e-46af-97b3-205958f048ee,
5,2023-02-16 08:34:01,dislike,2584535a-bd34-4c47-b07e-e208b7e43bb8,INC49193402,,INC49193399,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",3.0,,2a76050e-a26e-46af-97b3-205958f048ee,
6,2023-02-16 08:34:26,view-incident-results,b84d947b-16a0-490d-b970-a7948cc67115,INC49193402,,,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",,,2a76050e-a26e-46af-97b3-205958f048ee,
7,2023-02-16 08:34:40,view-similar-incident,d587ab58-ce72-4b9d-8918-a976c6a6a3ef,INC49193402,,INC38223349,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",1.0,,2a76050e-a26e-46af-97b3-205958f048ee,
8,2023-02-16 08:45:46,view-incident-results,0f141c6a-2315-4d9a-b957-8ccc1e829387,INC49193402,,,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",,,7d57e7a1-8e37-432d-8248-8ea5dd6cf278,
9,2023-02-16 08:46:07,view-incident-results,24643ed5-db4d-45f0-babf-1d2a0d9d9754,INC49193402,,,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",,,7d57e7a1-8e37-432d-8248-8ea5dd6cf278,
